Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
1,1,8,3,14,17,19,4,4,4,4,1,3,3,3,1,4,2,3,2,2,2,4,4,3,2,2,3,3,3,2,1,1,0
0,1,11,3,27,11,19,3,4,3,3,1,2,3,2,1,3,2,3,2,2,2,3,3,2,2,3,3,3,3,3,3,0,1
0,2,17,3,29,33,26,3,2,3,3,1,4,3,3,1,3,3,2,3,3,2,2,3,2,3,2,3,2,2,4,3,0,1
1,2,9,3,13,16,26,4,4,4,4,1,3,4,3,1,3,4,4,4,4,2,2,3,1,3,3,3,2,3,2,4,0,1
0,2,8,0,9,30,26,4,2,3,4,1,2,3,1,1,1,1,2,2,2,2,2,1,1,2,3,2,3,3,4,1,0,1
1,1,14,3,12,25,28,3,3,3,4,1,2,4,3,1,4,2,3,3,3,2,3,4,3,2,1,3,3,3,3,1,1,0
1,1,13,4,23,11,30,3,3,3,3,1,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,0
0,1,14,3,12,25,30,4,4,4,4,1,4,4,4,1,3,2,3,4,2,2,3,3,3,2,2,3,3,3,3,3,0,1
0,2,3,1,29,11,32,4,4,4,4,1,3,2,2,1,3,2,3,3,2,2,2,3,3,2,4,3,3,3,3,2,0,1
1,2,3,3,29,8,32,3,3,4,3,1,3,3,2,1,3,2,3,3,2,2,3,3,3,2,2,2,2,1,3,1,0,0
1,2,2,0,7,5,33,4,4,4,4,1,4,4,4,1,4,4,4,2,1,2,2,4,2,1,1,3,2,3,3,1,1,0
0,1,18,0,5,7,33,3,3,4,3,1,2,2,2,1,1,2,2,3,2,2,1,1,3,4,4,2,2,2,2,2,0,1
1,0,7,0,15,5,33,4,3,4,4,1,2,4,3,1,4,1,4,3,1,2,4,4,4,1,2,3,3,4,4,2,1,1
0,1,8,1,11,14,33,3,4,2,3,1,3,3,4,1,3,1,4,3,2,2,2,3,2,4,2,2,2,4,3,1,0,0
0,2,8,3,14,24,33,4,1,4,4,1,3,3,3,1,3,1,1,3,1,2,3,3,1,2,1,2,2,1,4,4,1,0
1,1,11,1,29,18,35,3,3,3,3,1,3,3,2,1,3,2,3,3,3,2,3,3,2,2,2,3,3,3,4,3,0,1
0,1,8,4,14,24,36,3,3,3,3,1,2,4,2,1,4,2,2,3,2,2,4,4,4,2,2,3,3,3,3,3,1,0
1,2,9,3,16,14,22,4,4,4,4,1,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,0,0
